  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
    1     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    2     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    3     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    4     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    5     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    6     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    7     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    8     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
    9     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   10     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   11     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   12     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   13     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   14     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   15     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   16     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   17     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   18     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   19     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   20     0.50000     5.80000     3.46000     2.58400     0.00000     0.00000
   21     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   22     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   23     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   24     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   25     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   26     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   27     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   28     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   29     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   30     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   31     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   32     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   33     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   34     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   35     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   36     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   37     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   38     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   39     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   40     0.50000     5.80000     3.46000     2.72000     0.00000     0.00000
   41     0.50000     6.15000     3.65500     2.82000     0.00000     0.00000
   42     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   43     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   44     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   45     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   46     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   47     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   48     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   49     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   50     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   51     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   52     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   53     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   54     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   55     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   56     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   57     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   58     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   59     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   60     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   61     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   62     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   63     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   64     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   65     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   66     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   67     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   68     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   69     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   70     0.50000     6.50000     3.85000     2.92000     0.00000     0.00000
   71     0.50000     7.27125     4.16750     3.12630     0.00000     0.00000
   72     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   73     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   74     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   75     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   76     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   77     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   78     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   79     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   80     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   81     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   82     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   83     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   84     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   85     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   86     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   87     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   88     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   89     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   90     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   91     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   92     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   93     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   94     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
   95     0.50000     8.04250     4.48500     3.33260     0.00000     0.00000
